Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Matemáticas Especiales - Clase,2026-02-04,20:00,2026-02-04,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-02-11,20:00,2026-02-11,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-02-18,20:00,2026-02-18,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-02-25,20:00,2026-02-25,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-03-04,20:00,2026-03-04,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-03-11,20:00,2026-03-11,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-03-18,20:00,2026-03-18,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-03-25,20:00,2026-03-25,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-04-01,20:00,2026-04-01,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-04-08,20:00,2026-04-08,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-04-15,20:00,2026-04-15,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-04-22,20:00,2026-04-22,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-04-29,20:00,2026-04-29,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-05-06,20:00,2026-05-06,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-05-13,20:00,2026-05-13,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-05-20,20:00,2026-05-20,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle
Matemáticas Especiales - Clase,2026-05-27,20:00,2026-05-27,22:00,False,Docente: Manuel Romero | Maestría IA 2026-1,Universidad de La Salle

Fundamentos de IA - Clase,2026-02-09,18:00,2026-02-09,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-02-16,18:00,2026-02-16,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-02-23,18:00,2026-02-23,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-03-02,18:00,2026-03-02,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-03-09,18:00,2026-03-09,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Taller,2026-03-16,18:00,2026-03-16,20:00,False,Docente: Armando Mateus | Taller (T) | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-03-23,18:00,2026-03-23,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-03-30,18:00,2026-03-30,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-04-13,18:00,2026-04-13,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-04-20,18:00,2026-04-20,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-04-27,18:00,2026-04-27,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-05-04,18:00,2026-05-04,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle
Fundamentos de IA - Clase,2026-05-11,18:00,2026-05-11,20:00,False,Docente: Armando Mateus | Maestría IA 2026-1,Universidad de La Salle

Ética en IA - Clase,2026-04-30,20:00,2026-04-30,22:00,False,Docente: Jorge Edison Rojas | Maestría IA 2026-1,Universidad de La Salle
Ética en IA - Clase,2026-05-07,20:00,2026-05-07,22:00,False,Docente: Jorge Edison Rojas | Maestría IA 2026-1,Universidad de La Salle
Ética en IA - Clase,2026-05-14,20:00,2026-05-14,22:00,False,Docente: Jorge Edison Rojas | Maestría IA 2026-1,Universidad de La Salle
